,Dimension,Benchmark,Algorithm,Execution Times,Mean of Execution Times (s),Standard Deviation of Execution Times (s)
36,50,Ackley,Pure PSO,"[0.4364937180002926, 0.6413443669998742, 0.42910224400020525, 0.633432984999672, 0.6408908829998836, 0.8933130690002145, 1.1741884770003708, 0.7798833229999218, 0.5836024839995844, 0.7782701910000469]",0.6990522146224976,0.21034693717956543
37,50,Ackley,Vectorized PSO,"[0.13831781299995782, 0.2065347290003956, 0.13810561900027096, 0.22341479899978367, 0.19349904799992146, 0.15884131300026638, 0.12507784999979776, 0.13089766200027952, 0.17118846399989707, 0.17674115499994514]",0.16626183688640594,0.032155513763427734
38,50,Ackley,JAX PSO,"[0.3933875220000118, 0.39581066900018413, 0.433175422000204, 0.4080610800001523, 0.3887360260000605, 0.32946827500018117, 0.2944263089998458, 0.2968651630003478, 0.3028324199999588, 0.31511271699991994]",0.35578757524490356,0.050210610032081604
39,50,Alpine,Pure PSO,"[0.7412933479999992, 0.5766391659999499, 0.571806418000051, 0.5855906370002231, 0.6166559019998203, 0.5779447360000631, 0.5893249850000757, 0.7143460649999724, 0.6093544159998601, 0.5872176940001737]",0.617017388343811,0.05728863179683685
40,50,Alpine,Vectorized PSO,"[0.12685092599986092, 0.11830665400020735, 0.1185186299999259, 0.1259465610000916, 0.12439374599989605, 0.1154186280000431, 0.11789441999962946, 0.1224889830000393, 0.12158367000029102, 0.12222457400002895]",0.12136267870664597,0.0035660776775330305
41,50,Alpine,JAX PSO,"[0.2676220979997197, 0.37265115699983653, 0.30966510100006417, 0.27240056400023605, 0.2687783890000901, 0.2743827690001126, 0.2762939570002345, 0.27163795099977506, 0.26758498900017, 0.28024627000013425]",0.28612634539604187,0.031137168407440186
42,50,Griewank,Pure PSO,"[0.6915870869997889, 0.724254688000201, 0.807605470999988, 0.6828978849998748, 0.6682078769999862, 0.6373676489997706, 0.6529683549997571, 0.6514998950001427, 0.6649104449998049, 0.6658694960001412]",0.6847168803215027,0.04699861630797386
43,50,Griewank,Vectorized PSO,"[0.19724654699984967, 0.18942194900000686, 0.16823989299973618, 0.16945945800034679, 0.17299703999970006, 0.1654560520000814, 0.17298682399996324, 0.1623939920000339, 0.1633723039999495, 0.1647839219999696]",0.17263579368591309,0.011050061322748661
44,50,Griewank,JAX PSO,"[0.27022055299994463, 0.286028971000178, 0.34037826799976756, 0.3123962039999242, 0.29033576899973923, 0.2765118170000278, 0.28401222000002235, 0.2901368600000751, 0.3065956099999312, 0.2814613380000992]",0.2938077449798584,0.019666731357574463
45,50,Rastrigin,Pure PSO,"[0.6324677259999589, 0.587394144999962, 0.5690976979999505, 0.6428605360001711, 0.5637897819997306, 0.5916008359999978, 0.5638093799998387, 0.5919946710000659, 0.6512493129998802, 0.6003184910000527]",0.5994582772254944,0.030633753165602684
46,50,Rastrigin,Vectorized PSO,"[0.13915105399973982, 0.15178022899999633, 0.1345556520000173, 0.14099862600005508, 0.17056193500002337, 0.1533955610002522, 0.1350664740002685, 0.1474660590001804, 0.1369417680002698, 0.12979994400029682]",0.14397172629833221,0.011486231349408627
47,50,Rastrigin,JAX PSO,"[0.26890713200009486, 0.28800249500000064, 0.2987225080000826, 0.341852223999922, 0.3294181210003444, 0.2946094950002589, 0.3011416989997997, 0.2704320719999487, 0.2940960119999545, 0.3016448799999125]",0.2988826632499695,0.0215848870575428
