,Dimension,Benchmark,Algorithm,Execution Times,Mean of Execution Times (s),Standard Deviation of Execution Times (s)
57,32,Rastrigin,JAX PSO,"[0.6076045939989854, 0.010842767005669884, 0.00992118800058961, 0.009981838004023302, 0.010992247000103816]",0.010434509254992008,0.00048635259736329317
58,32,Rosenbrock,JAX PSO,"[0.6952409550067387, 0.011830356997961644, 0.010753978000138886, 0.01239097699726699, 0.011650226995698176]",0.011656384915113449,0.0005882745026610792
59,32,Sphere,JAX PSO,"[0.5798849700004212, 0.01163969799381448, 0.00920978799695149, 0.011446807002357673, 0.009369548002723604]",0.010416461154818535,0.0011302662314847112
60,64,Ackley,Python PSO,"[1.8516967079995084, 1.8439302920014597, 1.8449832639962551, 1.864620262000244, 1.8446764690015698]",1.8495525121688843,0.008707745932042599
61,64,Rastrigin,Python PSO,"[1.8401553319999948, 1.82030070899782, 1.8145537919990602, 1.832224290999875, 1.917828735000512]",1.8462268114089966,0.04182776063680649
62,64,Rosenbrock,Python PSO,"[2.0671782069985056, 2.0016257129973383, 2.009127423996688, 1.9658334760024445, 1.9630666090015438]",1.9849133491516113,0.020657623186707497
63,64,Sphere,Python PSO,"[1.5994414849992609, 1.5835697399961646, 1.5898841409943998, 1.605847658996936, 1.5891824439968332]",1.5921210050582886,0.008294344879686832
64,64,Ackley,NumPy PSO,"[0.4738661960000172, 0.4792069250033819, 0.47501186699810205, 0.47606966600142187, 0.4729914369963808]",0.47581997513771057,0.0022465207148343325
65,64,Rastrigin,NumPy PSO,"[0.3216358770005172, 0.33046781499433564, 0.32053043699852424, 0.32115767800132744, 0.3206316270006937]",0.3231968879699707,0.004204622004181147
66,64,Rosenbrock,NumPy PSO,"[0.34705488200415857, 0.34943282099993667, 0.34583126299548894, 0.34359391299949493, 0.34623468299832894]",0.34627318382263184,0.0020831783767789602
67,64,Sphere,NumPy PSO,"[0.15652635900187306, 0.16174371899978723, 0.15571879900380736, 0.1562286300031701, 0.1560213799966732]",0.15742814540863037,0.0024981892202049494
68,64,Ackley,JAX PSO,"[0.7098914820016944, 0.0145910270002787, 0.015330956994148437, 0.013088118001178373, 0.013111147003655788]",0.014030312187969685,0.0009667823906056583
69,64,Rastrigin,JAX PSO,"[0.6379897470033029, 0.00788369800284272, 0.009255739001673646, 0.008085057997959666, 0.008069727999099996]",0.008323555812239647,0.0005440014647319913
70,64,Rosenbrock,JAX PSO,"[0.6214062700018985, 0.008283609000500292, 0.008160397999745328, 0.00798129900067579, 0.008722398000827525]",0.008286925964057446,0.0002734337467700243
71,64,Sphere,JAX PSO,"[0.632111327999155, 0.00840208799490938, 0.008084409004368354, 0.007895507995272055, 0.008780609001405537]",0.008290654048323631,0.0003358387912157923
72,128,Ackley,Python PSO,"[3.6919384249995346, 3.7655649700027425, 3.7813633370024036, 3.7703646769950865, 3.7387187619970064]",3.764002799987793,0.015681065618991852
73,128,Rastrigin,Python PSO,"[3.7615343069992377, 3.8030893780014594, 3.7508767260005698, 3.7353990580013487, 3.7491275139982463]",3.7596230506896973,0.02580106072127819
74,128,Rosenbrock,Python PSO,"[4.02367407699785, 4.0000632099981885, 4.022034026005713, 4.056772769996314, 4.07713471599709]",4.03900146484375,0.02989153005182743
75,128,Sphere,Python PSO,"[3.3530934380032704, 3.2775437160016736, 3.277213972003665, 3.2884293670067564, 3.2697531650046585]",3.2782351970672607,0.006659273058176041
76,128,Ackley,NumPy PSO,"[0.552926689000742, 0.544691729999613, 0.5437284010040457, 0.5462684800004354, 0.5452814899981604]",0.5449925661087036,0.0009219492203556001
77,128,Rastrigin,NumPy PSO,"[0.3882496930018533, 0.3886299139994662, 0.38686842400056776, 0.3876771840004949, 0.3852792839970789]",0.38711369037628174,0.0012289854930713773
78,128,Rosenbrock,NumPy PSO,"[0.37384729600307764, 0.3745659260021057, 0.3750159960036399, 0.37210827600210905, 0.3734434459984186]",0.3737834095954895,0.0011239718878641725
79,128,Sphere,NumPy PSO,"[0.18425747400033288, 0.18266533400310436, 0.1838772230039467, 0.18231509400357027, 0.1820366739993915]",0.18272358179092407,0.0007023188518360257
80,128,Ackley,JAX PSO,"[0.7181424269947456, 0.01570976800576318, 0.014071468001930043, 0.012150668000685982, 0.012567098994622938]",0.013624750077724457,0.0013998568756505847
81,128,Rastrigin,JAX PSO,"[0.6317781199977617, 0.009721469003125094, 0.008667428999615368, 0.009743527996761259, 0.009075488997041248]",0.009301979094743729,0.00045411710743792355
82,128,Rosenbrock,JAX PSO,"[0.6039262039994355, 0.009154328996373806, 0.009372309003083501, 0.00787657799810404, 0.008562579001591075]",0.008741448633372784,0.0005806140834465623
83,128,Sphere,JAX PSO,"[0.6129639630016754, 0.00935641899559414, 0.00813494899921352, 0.008218148999731056, 0.007988998004293535]",0.008424628525972366,0.0005441863322630525
84,256,Ackley,Python PSO,"[7.531384560003062, 7.607185519998893, 7.9915388119989075, 9.093930978000571, 9.939142510003876]",8.657949447631836,0.9192038774490356
85,256,Rastrigin,Python PSO,"[9.363458266001544, 9.20910396600084, 9.66132470100274, 11.160018585003854, 10.3977591859948]",10.107051849365234,0.7413222193717957
86,256,Rosenbrock,Python PSO,"[10.654263192001963, 10.736528377994546, 10.011536426005478, 10.230269813000632, 10.46803637099947]",10.361592292785645,0.27004265785217285
87,256,Sphere,Python PSO,"[9.785114051999699, 7.615182832996652, 8.26114151499496, 8.253273422997154, 8.958143420000852]",8.271934509277344,0.47504469752311707
